UserID,CourseID,Course Name,Choice,Ground Truth
3,CSCI-A110,INTRODUCTION TO COMPUTERS AND COMPUTING,A,1
3,CSCI-B392,COMPETITIVE PROGRAMMING,SA,2
3,CSCI-B403,INTRODUCTION TO ALGORITHM DESIGN AND ANALYSIS,SA,2
3,CSCI-C212,INTRODUCTION TO SOFTWARE SYSTEMS,SD,-2
3,CSCI-H343,DATA STRUCTURES  HONORS,SA,2
3,CSCI-P523,PROGRAMMING LANGUAGE IMPLEMENT,D,-1
3,CSCI-Y793,MASTER'S SOFTWARE THESIS,SA,2
3,ENGR-E312,MODERN COMPUTER ARCHITECTURE,A,1
3,ENGR-E321,ADVANCED CYBERPHYSICAL SYSTEMS,SA,2
3,ILS-Z571,MATERIALS FOR YOUTH,A,1
